,as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator,overall_approval_rate
12,2017,0000003656,Office of the Comptroller of the Currency,OCC,1,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,45.0,Preapproval was not requested,2,Application denied by financial institution,3,"Dallas, Plano, Irving - TX",19124.0,Texas,TX,48.0,Dallas County,113.0,80.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,490.0,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3.0,,,,,,Not a HOEPA loan,2,Secured by a subordinate lien,2,,,,6926.0,12.81999969482422,73400.0,255.5500030517578,2472.0,2747.0,,0.7940541042938857
13,2017,22-3039688,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,250.0,Not applicable,3,Loan purchased by the institution,6,Colorado Springs - CO,17820.0,Colorado,CO,8.0,El Paso County,41.0,28.0,Not applicable,4,Not applicable,4,Not applicable,7,,,,,,,,,Not applicable,7,,,,,,,,,Not applicable,4,Not applicable,4,,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,,5871.0,56.119998931884766,73500.0,65.26000213623047,1002.0,1735.0,,0.7940541042938857
14,2017,0000817824,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,329.0,Preapproval was not requested,2,Application withdrawn by applicant,4,"Orlando, Kissimmee, Sanford - FL",36740.0,Florida,FL,12.0,Osceola County,97.0,408.03,Not Hispanic or Latino,2,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,75.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,8465.0,16.219999313354492,58400.0,160.89999389648438,1838.0,2805.0,,0.7940541042938857
15,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,285.0,Not applicable,3,Loan purchased by the institution,6,"San Antonio, New Braunfels - TX",41700.0,Texas,TX,48.0,Bexar County,29.0,1915.06,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,130.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,,5548.0,49.59000015258789,64300.0,142.9199981689453,1213.0,1504.0,,0.7940541042938857
16,2017,0000613307,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,800.0,Not applicable,3,Loan originated,1,"New York, Jersey City, White Plains - NY, NJ",35614.0,New York,NY,36.0,Kings County,47.0,1522.0,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,181.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3755.0,62.63999938964844,73700.0,132.72000122070312,623.0,742.0,,0.7940541042938857
17,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,132.0,Not applicable,3,Loan purchased by the institution,6,"Lakeland, Winter Haven - FL",29460.0,Florida,FL,12.0,Polk County,105.0,115.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,94.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,,5921.0,31.479999542236328,52500.0,64.70999908447266,1125.0,2260.0,,0.7940541042938857
18,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,570.0,Not applicable,3,Application denied by financial institution,3,"Sacramento, Roseville, Arden-Arcade - CA",40900.0,California,CA,6.0,Sacramento County,67.0,61.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,144.0,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3.0,Other,9.0,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4824.0,37.22999954223633,75200.0,57.41999816894531,818.0,1626.0,,0.7940541042938857
19,2017,43-1965151,Department of Housing and Urban Development,HUD,7,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,107.0,Not applicable,3,Application denied by financial institution,3,"Scranton, Wilkes-Barre, Hazleton - PA",42540.0,Pennsylvania,PA,42.0,Luzerne County,79.0,2173.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,12.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3382.0,20.280000686645508,59500.0,93.2300033569336,1016.0,1389.0,,0.7940541042938857
20,2017,0000068490,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,62.0,Not applicable,3,Loan originated,1,Jacksonville - FL,27260.0,Florida,FL,12.0,Duval County,31.0,144.13,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,50.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5589.0,30.149999618530277,64300.0,134.11000061035156,1378.0,1780.0,,0.7940541042938857
21,2017,41-1842999,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,199.0,Not applicable,3,Loan originated,1,"Minneapolis, St. Paul, Bloomington - MN, WI",33460.0,Minnesota,MN,27.0,Hennepin County,53.0,269.09,Hispanic or Latino,1,Not Hispanic or Latino,2,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,119.0,Other type of purchaser,9,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,12551.0,6.489999771118164,89800.0,135.77999877929688,3463.0,3782.0,,0.7940541042938857
22,2017,0000060153,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,250.0,Not applicable,3,Application denied by financial institution,3,"New York, Jersey City, White Plains - NY, NJ",35614.0,New York,NY,36.0,Kings County,47.0,1502.0,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,72.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,2946.0,35.34000015258789,73700.0,157.97000122070312,542.0,908.0,,0.7940541042938857
23,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,170.0,Not applicable,3,Loan originated,1,El Paso - TX,21340.0,Texas,TX,48.0,El Paso County,141.0,102.14,Hispanic or Latino,1,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,81.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6225.0,62.86000061035156,45300.0,279.7200012207031,1575.0,2041.0,,0.7940541042938857
24,2017,7197000003,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,65.0,Preapproval was not requested,2,Application denied by financial institution,3,,,Michigan,MI,26.0,Alpena County,7.0,2.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,No co-applicant,8,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,50.0,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4272.0,2.789999961853028,55800.0,99.97000122070312,1609.0,2271.0,,0.7940541042938857
25,2017,62-0997810,Department of Housing and Urban Development,HUD,7,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,87.0,Not applicable,3,Application denied by financial institution,3,,,Arkansas,AR,5.0,Lafayette County,73.0,4701.0,"Information not provided by applicant in mail, Internet, or telephone application",3,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,11.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4519.0,47.52999877929688,46500.0,77.43000030517578,1212.0,2393.0,,0.7940541042938857
26,2017,7162800002,Department of Housing and Urban Development,HUD,7,Conventional,1,Manufactured housing,2,Home purchase,1,Owner-occupied as a principal dwelling,1,152.0,Not applicable,3,File closed for incompleteness,5,"Riverside, San Bernardino, Ontario - CA",40140.0,California,CA,6.0,San Bernardino County,71.0,13.12,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Male,1,Female,2,109.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4919.0,86.13999938964844,63200.0,89.69999694824219,993.0,1313.0,,0.7940541042938857
27,2017,0000451965,Consumer Financial Protection Bureau,CFPB,9,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,196.0,Not applicable,3,Loan originated,1,"Montgomery County, Bucks County, Chester County - PA",33874.0,Pennsylvania,PA,42.0,Montgomery County,91.0,2036.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,57.0,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4078.0,58.310001373291016,102600.0,73.88999938964844,1021.0,1463.0,,0.7940541042938857
28,2017,0000060806,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,304.0,Not applicable,3,Loan originated,1,"Dallas, Plano, Irving - TX",19124.0,Texas,TX,48.0,Dallas County,113.0,78.1,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,219.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,3928.0,45.84999847412109,73400.0,135.92999267578125,873.0,939.0,,0.7940541042938857
29,2017,33-0975529,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,82.0,Preapproval was not requested,2,Loan originated,1,,,Wisconsin,WI,55.0,Shawano County,115.0,1003.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,74.0,"Life insurance company, credit union, mortgage bank, or finance company",7,,,,,,,2.08,Not a HOEPA loan,2,Secured by a first lien,1,,,,3524.0,10.529999732971191,62600.0,103.2300033569336,1274.0,1857.0,,0.7940541042938857
30,2017,43-1918759,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,144.0,Preapproval was requested,1,Application denied by financial institution,3,"St. Louis - MO, IL",41180.0,Missouri,MO,29.0,St. Louis County,189.0,2109.24,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,39.0,Loan was not originated or was not sold in calendar year covered by register,0,"Insufficient cash (downpayment, closing costs)",5.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,4927.0,65.9000015258789,74300.0,88.6500015258789,1145.0,1543.0,,0.7940541042938857
31,2017,0000063194,National Credit Union Administration,NCUA,5,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,196.0,Preapproval was requested,1,Loan originated,1,Pocatello - ID,38540.0,Idaho,ID,16.0,Bannock County,5.0,4.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,73.0,Other type of purchaser,9,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5451.0,10.789999961853027,56800.0,128.63999938964844,1601.0,1814.0,,0.7940541042938857
32,2017,86-0860478,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,60.0,Not applicable,3,Application withdrawn by applicant,4,Philadelphia - PA,37964.0,Pennsylvania,PA,42.0,Philadelphia County,101.0,55.0,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,26.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6385.0,90.5999984741211,57400.0,101.79000091552734,1595.0,2475.0,,0.7940541042938857
33,2017,0000066364,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,290.0,Preapproval was not requested,2,File closed for incompleteness,5,"Cambridge, Newton, Framingham - MA",15764.0,Massachusetts,MA,25.0,Middlesex County,17.0,3351.0,Hispanic or Latino,1,No co-applicant,5,American Indian or Alaska Native,1,Black or African American,3.0,White,5.0,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,223.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,5546.0,7.099999904632568,104800.0,104.79000091552734,1675.0,2227.0,,0.7940541042938857
34,2017,36-4327855,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,416.0,Preapproval was not requested,2,Loan originated,1,Philadelphia - PA,37964.0,Pennsylvania,PA,42.0,Philadelphia County,101.0,160.0,Not Hispanic or Latino,2,"Information not provided by applicant in mail, Internet, or telephone application",3,White,5,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Female,2,"Information not provided by applicant in mail, Internet, or telephone application",3,118.0,"Life insurance company, credit union, mortgage bank, or finance company",7,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,,6711.0,12.859999656677246,57400.0,92.76000213623048,1702.0,3063.0,,0.7940541042938857
35,2017,0000066836,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,20.0,Not applicable,3,Loan originated,1,Richmond - VA,40060.0,Virginia,VA,51.0,Chesterfield County,41.0,1010.1,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Black or African American,3,,,,,,,,,Black or African American,3,,,,,,,,,Female,2,Male,1,103.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a subordinate lien,2,,,,7970.0,15.40999984741211,78700.0,150.3699951171875,2506.0,2752.0,,0.7940541042938857
